name,type,eircode,address,lat,lng,email,phone,contact1,contact2,contact3,link,sourceId,
Southern Centre of Operations,ALZ,,Bessboro Day Care Centre Blackrock Cork Co. Cork. R93 F8K3,52.83489385,-6.925693148,breda.twohig@alzheimer.ie,087 9330737,Breda Twohig,,,https://alzheimer.ie/location/southern-centre-of-operations/,,
Mitchelstown Day Care,ALZ,,Mitchelstown Day Care James Street Mitchelstown Co. Cork P67 WP49,52.2653144,-8.272594679,rebecca.cullen@alzheimer.ie,087 2073719,Rebecca Cullen,,,https://alzheimer.ie/location/mitchelstown-day-care/,,
Newmarket Alzheimer Café,ALZ,,The Culturlann Newmarket Co Cork P51 D854,52.21457212,-8.995715887,newmarket.alzcafe@alzheimer.ie,,Linda Grogan / Rhona Gerrard,,,https://alzheimer.ie/location/newmarket-alzheimer-cafe/,,
North Cork Day Care at Home,ALZ,,,52.15361082,-8.53127015,mgallagher@alzheimer.ie,022 43322 / 086 239 6057,Marie Gallagher,,,https://alzheimer.ie/location/mallow-cork-day-care-at-home/,,
Mallow Day Care,ALZ,,Mallow Daycare Nano Nagle Centre Nano Nagle Birthplace Ballygriffin Mallow County Cork P51 CV91,52.1516042,-8.523455048,lena.osullivan@alzheimer.ie,022 433 22,Lena O'Sullivan,,,https://alzheimer.ie/location/mallow-day-care/,,
Fermoy Dementia Café,ALZ,,Adare Hall Fermoy,52.14247261,-8.276480345,amurphy@alzheimer.ie,086 781 2217,Amy Murphy,,,https://alzheimer.ie/location/fermoy-dementia-cafe/,,
North Cork Home Care,ALZ,,St Mary's Day Care Lower Bearforest Mallow Co Cork. P51 WKE3,52.13013604,-8.64060381,,022 509 45 / 086 239 6057,Marie Gallagher,,,https://alzheimer.ie/location/north-cork-home-care/,,
North Cork Support Group – Café de Mentia,ALZ,,St Mary's Day Care Centre Lenihans Lane Lower Bearforest Mallow Cork. P51 WKE3,52.13000432,-8.640517979,,086 781 2217,"Amy Murphy, Dementia Adviser",,,https://alzheimer.ie/location/north-cork-support-group-cafe-de-mentia/,,
Mallow Memory Technology Resource Room,ALZ,,Mallow Primary Healthcare building Mallow Co. Cork,52.12047829,-8.656796059,sheena.cadoo@hse.ie,022 58700 / 086 7871818,Sheena Cadoo,,,https://alzheimer.ie/location/mallow-memory-technology-resource-room/,,
The Crystal Project,ALZ,,Mallow Primary Healthcare Centre,52.12015241,-8.656869944,info@crystalproject.ie,022 58700,,,,https://alzheimer.ie/location/the-crystal-project/,,
Conna Day Care,ALZ,,Conna Social Day Care Centre Conna North Cork Co. Cork. P51 PP30,52.09226061,-8.110398133,rebecca.cullen@alzheimer.ie,872073719,Rebecca Cullen,,,https://alzheimer.ie/location/conna-day-care/,,
North Cork Dementia Adviser,ALZ,,St Stephens Psychiatric Hospital Sarsfield Court County Cork,51.95577093,-8.401716026,amurphy@alzheimer.ie,086 781 2217,Amy Murphy,,,https://alzheimer.ie/location/north-cork-dementia-adviser/,,
South Cork Dementia Adviser,ALZ,,St Stephens Psychiatric Hospital Sarsfield Court County Cork,51.95577093,-8.401716026,amurphy@alzheimer.ie,086 781 2217,Amy Murphy,,,https://alzheimer.ie/location/south-cork-dementia-adviser/,,
Youghal Social Cafe,ALZ,,Holy Family Church Hall Youghal Cork,51.95187597,-7.856709588,,087 641 3468,Niamh Herbert,,,https://alzheimer.ie/location/youghal-social-cafe/,,
Macroom Day Care (Formerly Bandon),ALZ,,Comhlacht Tithe Sóisialta agus Forbairt an tSuláin Teoranta Ionad Lae Macroom Co Cork P12 WK02,51.94246078,-9.160080525,clare.odriscoll@alzheimer.ie,087 611 4282,Clare O'Driscoll,,,https://alzheimer.ie/location/bandon-day-care/,,
Midleton Day Care,ALZ,,McCauley Day Care Centre Midleton Hospital Midleton Co. Cork P25 XD82,51.91884782,-8.170759825,barbara.janiec@alzheimer.ie,087 383 5208,Barbara Janiec,,,https://alzheimer.ie/location/midleton-day-care/,,
Ballincollig Alzheimer Café,ALZ,,Chapel Gate Cafe Ballincollig Cork P31 XP38,51.88751699,-8.590004664,karen.fitzpatrick@alzheimer.ie,873487511,Karen Fitzpatrick,,,https://alzheimer.ie/location/ballincollig-alzheimer-cafe/,,
