name,type,eircode,address,lat,lng,email,phone,contact1,contact2,contact3,link,sourceId
Cork Sdeaf Assoc,CHIME,,"Deaf Centre, 5 McCurtain Street, Cork",51.90138721,-8.466617503,,(021) 450 5944,,,CDA,https://www.corkdeaf.ie/about-us/,
Chime - Carlow,CHIME,,Cathedral Parish Centre College Street Carlow,52.83767021,-6.928924691,,,,,"10am - 1pm,  on  First Tuesday of every month",https://www.ennisparish.com/contacts/,https://www.chime.ie/services/outreach-clinics-nationwide
Chime - Ennis,CHIME,,Ennis Parish Centre Station Road Ennis County Clare,52.84188457,-8.98317339,,065 682 4043,,,10am - 1pm and 2pm - 4pm on the 4th Wednesday of the Month,https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Buncrana,CHIME,,Maginn Ave Ardaravan Buncrana Co. Donegal,55.13486691,-7.452258457,,0749363611,,,9.30am - 4pm on the first and third Tuesday of the Month,http://buncranamedicalcentre.ie/,
Chime - Drumlonagher,CHIME,,"Donegal Town Primary Centre, Drumlongher  F94 PD8W",54.68025696,-8.089995669,,0749898001,,,"9.30am - 4pm, 2nd and 4th Monday of every month.",https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Clifden,CHIME,,Galway Rd Clifden Co. Galway,53.48958071,-10.01650907,,09521102,,,3rd Tuesday of the month - 10:300-13:00,https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Tuam,CHIME,,Townparks (2nd Division) Tuam Co. Galway H54 DT61,53.51160195,-8.851689774,,09337800,,,"10.30am - 1pm, on the 1st Friday of the month",https://www.tuamfamilypractice.ie/contact,
Chime - Cahersiveen,CHIME,,The Marina Caherciveen County Kerry,51.94777675,-10.23190087,,,,,2nd Tuesday of the month. 11am to 2pm,https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Achill,CHIME,,Achill Sound Health Centre. 1st Floor Room 14,53.93019891,-9.928882504,,,,,First Monday of each month. If it falls on a Bank holiday the second Monday of the month 10:30-13:00,https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Ballina,CHIME,,Ballina Primary Care Centre Kevin Barry St Ballina Co. Mayo,54.11202804,-9.159915145,,09622868,,,,https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Kenmare,CHIME,,Kenmare Family Resource Centre  Railway Road Kenmare Co.Kerry,51.8830806,-9.582134703,,0646642790,,,10am - 1pm on the Last Friday of the Month,https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Killorglin,CHIME,,"Day Care Centre, Market Street, Killorglin Co. Kerry",52.10754781,-9.785748394,,066 979 0907,,,2nd Thursday of the Month - 2pm - 4pm,https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Athy,CHIME,,Athy Family Resource Centre Woodstock Street Townparks Athy,52.99578118,-6.992196088,,086 065 3042,,,11am - 1pm Last Wednesday of the Month,https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Newbridge,CHIME,,Newbridge Family Resource Centre Dara Park Newbridge,53.18032784,-6.810324757,,086 065 3042,,,11am - 1pm Last Tuesday of the Month,https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Kilkenny,CHIME,,St Patricks Parish Centre Loughboy Gallowshill Kilkenny,52.64080871,-7.24142429,,,,,"10am - 1pm,  on the third Wednesday of every month",https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Newcastle west Limerick,CHIME,,Desmond Complex Newcastle West Limerick,52.45515744,-9.057492388,,06962757,,,"10am - 1pm, 3rd Thursday of the month",http://www.desmondcomplex.pro.ie/,
Chime - Longford,CHIME,,Longford Centre 9A Great Water St Townparks Longford N39 R7R6,53.72904776,-7.798428141,,,,,"10am - 1pm, on the 1st Tuesday of the month",https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Birr,CHIME,,"Birr Technology Centre St Brendan Street Birr, Offaly",53.09311027,-7.911260361,,,,,"2pm - 4.30pm, First Wednesday of every month",https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Portlaois,CHIME,,Citizens Information Centre Kellyville Centre Kellyville Park Kylekiproe Portlaoise,53.03346296,-7.299748503,,,,,"10am - 12.30pm, Last Tuesday of every month",https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Abbeyville,CHIME,,Chime Office Abbeyville Centre Abbeyville F91 KH5X,54.26975864,-8.467719387,,,,,9am - 3pm on the 2nd and 4th Tuesday of every month,https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Clonmell,CHIME,,Community Resource Centre Kickham Street Clonmel Tipperary,52.35714086,-7.699544774,,,,,"10am - 1pm,  on the first Thursday of every month",https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Nenagh,CHIME,,"Tyone Health Centre, Nenagh Co. Tipperary",52.85767322,-8.191533203,,,,,"10am - 1pm and 2pm - 4pm, on the 1st Wednesday of the month",https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Thurles,CHIME,,Primary Health Care Centre Thurles,52.68159991,-7.804210035,,,,,"10am - 1pm and 2pm - 4pm, on the 2nd Wednesday of the month",https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Mullingar,CHIME,,1428 Active Retirement club 2 Harbour Street Mullingar Co. Westmeath N91 FY96,53.52774482,-7.341389303,,044 9384290,,,"10am - 1pm, Last Friday of the month",https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Wexford,CHIME,,Lochrann House Cinema Lane Wexford,52.33795241,-6.459653503,,,,,"10am - 1pm,  on the first Wednesday of every month",https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Greystones,CHIME,,Greystones Family Resource Centre Unit 10 2nd Floor Charlesland Centre Greystones,53.12698884,-6.063993003,,,,,"1pm - 3pm, 2nd last Tuesday of the month",https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Dublin North,CHIME,,"Deaf Village Ireland Ratoath Road Cabra, Dublin 7 D07 W94H",53.36426624,-6.299373,,01 8175700,,,Mon - Fri 9am - 5pm,https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Dublin South,CHIME,,Unit G-H Exchange Hall Belgard Square North Tallaght Dublin 24 D24 YW89,53.29069903,-6.37421914,,01 462 0377,,,Mon - Fri 9am - 5pm,https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Dundalk,CHIME,,14 Jocelyn Street Dundalk Co. Louth A91 XNY2,54.00508667,-6.396669915,,042 933 2010,,,Mon - Fri 9am - 5pm Closed for lunch 1pm - 2pm,https://www.chime.ie/services/outreach-clinics-nationwide,
Chime - Tullamore,CHIME,,14 Church Street Tullamore Co Offaly R35 T0C9,53.27521699,-7.491255985,,057 935 1606,,,Mon - Fri 9am - 5pm Closed for lunch 1pm - 2pm,https://www.chime.ie/services/outreach-clinics-nationwide,
