name,type,eircode,address,lat,lng,email,phone,contact1,contact2,contact3,link,sourceId
Carlow County Council,coco,,County Buildings Athy Road Carlow.,52.84334947,-6.930269792,,0599170300,,,,https://www.carlow.ie/,
Tullow Civic Offices,coco,,"Civic Offices Link Road, Tullow.",52.84334947,-6.9302698,,0599172415,,,,https://www.carlow.ie/,
Muinebheag Area Office,coco,,"McGrath Hall Station Road, Muinebheag",52.84334947,-6.9302699,,0599136296,,,,https://www.carlow.ie/,
Cavan County Council,coco,,Second Floor Johnston Centre Farnham Street Cavan H12 C9K1,53.99340371,-7.362202177,info@cavancoco.ie,049-4378300,,,,https://www.cavancoco.ie/your-council/customer-care/contact-us/,
Clare County Council,coco,,New Rd Lifford Ennis Co. Clare V95 DXP2,52.86779875,-8.976517544,customerservices@clarecoco.ie,0656821616,,,,https://www.clarecoco.ie/your-council/contact-the-council/default.html,
Cork County Council,coco,,County Hall Carrigrohane Rd Cork,51.92589431,-8.512757503,,0214276891,,,,https://www.corkcoco.ie/en/cork-county-council-contact-details,
Donegal County Council,coco,,St Orans Rd Ardaravan Buncrana Co. Donegal,55.16719875,-7.457168731,,0749153900,,,,https://www.donegalcoco.ie/services/contactus/,
Dun Laoghaire / Rathdown,coco,,2 Marine Rd Dunleary Dublin A96 K6C9,53.29446109,-6.134334348,info@dlrcoco.ie,012054700,,,,https://www.dlrcoco.ie/contact-us,
Fingal County Council,coco,,Grove Rd Blanchardstown Dublin 15,53.39553426,-6.392819348,,(01) 890 5000,,,,https://www.fingal.ie/contact-us,
Galway County Council,coco,,Áras an Chontae Prospect Hill Galway H91 H6KX,53.27662547,-9.048728647,customerservices@galwaycoco.ie,(0)91 509000,,,,http://www.galway.ie/en/contactus/,
Kerry County Council,coco,,Kerry County Council County Buildings Rathass Tralee Co. Kerry V92 H7VT,52.26628546,-9.678999603,,066 7183500,,,,https://www.kerrycoco.ie/contact-us/,
Kildare County Council,coco,,Devoy Park Naas Co. Kildare W91 X77F,53.21464964,-6.671698561,,045980200,,,,http://kildarecountycouncil.ie/,
