name,type,eircode,address,lat,lng,email,phone,contact1,contact2,contact3,link,sourceId,,,
Anglesea street,24hr-Garda,,,51.895775,-8.465015,,(021) 4522000,,,,https://www.garda.ie/garda/en/contact-us/station-directory/anglesea-street.html,,,,24-Jul
Ballincollig,Garda,,,51.888237,-8.590321,,(021) 4214680,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ballincollig.html,,,,
Bishopstown,Garda,,,51.880667,-8.514534,,(021) 4624500,,,,https://www.garda.ie/garda/en/contact-us/station-directory/bishopstown.html,,,,
Blackrock,Garda,,,51.894335,-8.40431,,(021) 4536690,,,,https://www.garda.ie/garda/en/contact-us/station-directory/blackrock-cork.html,,,,
Blanrney,Garda,,,51.931964,-8.567658,,(021) 4516290,,,,https://www.garda.ie/garda/en/contact-us/station-directory/blarney.html,,,,
Bridewell,24hr-Garda,,,51.900553,-8.477045,,(021) 4943330,,,,https://www.garda.ie/garda/en/contact-us/station-directory/bridewell-cork.html,,,,24-Jul
Carrigaline,Garda,,,51.814833,-8.391535,,(021) 4919370,,,,https://www.garda.ie/garda/en/contact-us/station-directory/carrigaline.html,,,,
Carrignavar,Garda,,,51.988915,-8.478209,,(021) 4884222,,,,https://www.garda.ie/garda/en/contact-us/station-directory/carrignavar.html,,,,
Crosshaven,Garda,,,51.803976,-8.304453,,(021) 4831222,,,,https://www.garda.ie/garda/en/contact-us/station-directory/crosshaven.html,,,,
Douglas,Garda,,,51.875091,-8.430959,,(021) 4857670,,,,https://www.garda.ie/garda/en/contact-us/station-directory/douglas.html,,,,
Glanmire,Garda,,,51.918419,-8.396809,,(021) 4556370,,,,https://www.garda.ie/garda/en/contact-us/station-directory/glanmire.html,,,,
Gurranabraher,24hr-Garda,,,51.903493,-8.496622,,(021) 4946200,,,,https://www.garda.ie/garda/en/contact-us/station-directory/gurranabraher.html,,,,24-Jul
Mayfield,24hr-Garda,,,51.909732,-8.429043,,(021) 4558510,,,,https://www.garda.ie/garda/en/contact-us/station-directory/mayfield.html,,,,24-Jul
Passage West,Garda,,,51.865188,-8.331746,,(021) 4841001,,,,https://www.garda.ie/garda/en/contact-us/station-directory/passage-west.html,,,,
Togher,24hr-Garda,,,51.876497,-8.486227,,(021) 4947120,,,,https://www.garda.ie/garda/en/contact-us/station-directory/togher.html,,,,24-Jul
Watercourse Road,Garda,,,51.907175,-8.474483,,(021) 4558260,,,,https://www.garda.ie/garda/en/contact-us/station-directory/watercourse-road.html,,,,
Ballycotton,Garda,,,51.830332,-8.013091,,(021) 4646712,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ballycotton.html,,,,
Ballynoe,Garda,,,52.060207,-8.099306,,(058) 59100,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ballynoe.html,,,,
Buttervant,Garda,,,52.229313,-8.671275,,(022) 41740,,,,https://www.garda.ie/garda/en/contact-us/station-directory/buttevant.html,,,,
Carrigtwohill,Garda,,,51.909467,-8.261819,,(021) 4883222,,,,https://www.garda.ie/garda/en/contact-us/station-directory/carrigtwohill.html,,,,
Charleville,Garda,,,52.356054,-8.682567,,(063) 21770,,,,https://www.garda.ie/garda/en/contact-us/station-directory/charleville.html,,,,
Cloyne,Garda,,,51.86276,-8.123499,,(021) 4652515,,,,https://www.garda.ie/garda/en/contact-us/station-directory/cloyne.html,,,,
