name,type,eircode,address,lat,lng,email,phone,contact1,contact2,contact3,link,sourceId,,,,,
Comharchumann Forbartha an Leith Triúigh Teo,MOW, V92 DK4C, Halla Le Chéile Baile Uí Dhuibhne,52.25781192,-10.17183244,,0667138137,,,,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,,,,,, Kerry
Lauragh Meals on Wheels,MOW, V93 HR98,Lauragh Community Centre,51.7643606,-9.778710877,,087 3405863,,,,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,,,,,, Kerry
Charleville Meals on Wheels,MOW, P56 D857,Main Street ,52.35685805,-8.685103799,,087 7691605,,,,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,,,,,, Cork
Crosshaven Meals on Wheels,MOW, P43 EK76,Crosshaven ,51.8015799,-8.293230554,,087 3240445,,,,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,,,,,, Cork
Bishopstown Meals on Wheels,MOW, T12 XKF2,Wilton Park House ,51.87869114,-8.512250508,,021 4543757,,,,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,,,,,, Cork
The Caha Centre FRC,MOW, P75 EK72,Droumlave ,51.68551553,-9.712926623,,087 9144427,,,,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,,,,,, Cork
Schull Community Care Meals on Wheels,MOW, P81 DP84,,51.53593056,-9.565677785,,086 3159719,,,,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,,,,,, Cork
Meals on Wheels Youghal,MOW, P36 YE98,Tír na Nóg Blackwater Heights,51.95460083,-7.860743992,,087 3851764,,,,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,,,,,, Cork
Goleen District and Community Council,MOW, P81 VX95,Boulysallagh ,51.49884386,-9.718201,,087- 7164242,,,,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,,,,,, Cork
Bere Island Project Group,MOW, P75 XP38,Ballynakilla ,51.64043863,-9.858334492,,027 75099,,,,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,,,,,, Cork
