name,type,eircode,address,lat,lng,email,phone,contact1,contact2,contact3,link,sourceId
name,NCBI,Eircode,Address,lat,lon,Email,Phone,other,,,Website,
Carlow,NCBI, R93 K3H4, Teach Failte Kilkenny Road Carlow Co. Carlow,52.82262862,-6.941422594, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Cavan,NCBI, H12 P3V8, Dublin Road Cavan Co. Cavan,53.98712475,-7.360622362, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Cork,NCBI, T23 K126, 1A Penrose Wharf Penrose Quay Cork,51.90119042,-8.463650064, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Donegal,NCBI, F92 TP48, 1 St. Columba`s Terrace High Road Letterkenny Co. Donega,54.95505894,-7.734784792, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Dún Laoghaire,NCBI, A96 FW70, Marina House Clarence Street Dún Laoghaire Co. Dublin,53.29590855,-6.143150239, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Galway,NCBI, H91 PX9K, Odeon House Eyre Square Galway,53.27538243,-9.048409247, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Dublin Head Office,NCBI, DO9 RP70, Whitworth Road Drumcondra Dublin,53.36405722,-6.264693762, info@ncbi.ie, 01 830 70 33,,,,https://www.ncbi.ie/,
Iona Resource Centre,NCBI, DO9 XK51, Unit 7 Botanic Business Centre Botanic Road Dublin,53.36796623,-6.267612047, info@ncbi.ie, 01 830 40 14,,,,https://www.ncbi.ie/,
Kerry,NCBI, V92 W8YY, Market Place Maine Street Tralee Co. Kerry,52.27163646,-9.706813233, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Kildare,NCBI, R14 AE80, Athy Health Centre Woodstock Street Athy Co. Kildare,52.99511863,-6.991581663, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Kilkenny,NCBI, R95 V8DE, 7 Ormonde Road Kilkenny Co. Kilkenny,52.64862842,-7.251867402, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Laois,NCBI, R32 YFW6, Alvernia House St. Fintan’s Campus Dublin Road Portlaoise Co. Laois,53.03627587,-7.284255017, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Library and Media Centre,NCBI, D11 PF53, Unit 29 Finglas Business Centre Jamestown Road Finglas Dublin,53.39885386,-6.295705016, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Limerick,NCBI, V94NX38, (Clare Tipperary) Units 2&3 Parkview Court Lord Edward Street Limerick,52.65742279,-8.627299348, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Louth,NCBI, A91 XNY2, (Monaghan) 14 Jocelyn Street Dundalk Co. Louth,54.00547152,-6.396657962, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Mayo,NCBI, F23 X821, Mosaic Centre Stephen Garvey Way Castlebar Co. Mayo,53.85417205,-9.304909454, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Meath,NCBI, C15 RCW1, Unit 1 Kennedy Road Navan Co. Meath,53.65371411,-6.688758093, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Offaly,NCBI, R35 HP73, Regional Disability Services HSE Arden Road Tullamore Co. Offaly,53.28220473,-7.490931909, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Sligo,NCBI, F91 XTX2, (Leitrim) John F. Kennedy House John F. Kennedy Parade Sligo,54.27178331,-8.469017192, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Rehabilitation Training Centre,NCBI, DO9 RP70, Whitworth Road Drumcondra Dublin,53.36395478,-6.264779593, info@ncbi.ie, 01 830 70 33,,,,https://www.ncbi.ie/,
Tallaght,NCBI, D24 F22V, (Wicklow) Unit F5 Talbot House Belgard Square West Tallaght Dublin,53.28819866,-6.374993209, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Waterford,NCBI, X91 CKC7, Cheshire Complex John`s Hill Waterford,52.25103841,-7.104683694, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Westmeath,NCBI, N37 C1K2, (Roscommon  Longford) Clonbrusk Resource Centre Coosan Road Athlone Co. Westmeath,53.43384955,-7.94572527, info@ncbi.ie, 1800 911 250,,,,https://www.ncbi.ie/,
Lochrann Resource Centre,NCBI, Y35 DW73, Lochrann Centre Cinema Lane Wexford,52.33752333,-6.460198494, info@ncbi.ie, 053 912 43 42,,,,https://www.ncbi.ie/,
