name,type,eircode,address,lat,lng,email,phone,contact1,contact2,contact3,link,sourceId
"Ballinspittle Health Centre, ",HSE,P17AF53,"Ballycatten, Ballinspittle, Co. Cork, ",,,,,,,,,
"Ballincollig Health Centre, ",HSE,P31D832,"Innishmore, Ballincollig, Co. Cork, ",,,,,,,,,
Ballyclough,HSE,P51E793,"Ballyclough Community Hall, Ballyclough, Co. Cork, ",,,,,,,,,
"Ballydesmond Health Centre, ",HSE,P51FW66,"Ballydesmond, Co. Cork, ",,,,,,,,,
"Allihies Health Centre, ",HSE,P75EK70,"Cluin, Allihies, Co. Cork, ",51.64226,-10.0455,,,,,,,
Adrigole Health Centre,HSE,P75YE24,"Cappanaparka East, Adrigole, Co. Cork, ",51.68932,-9.73529,,,,,,,
Ballydehob Health Centre ,HSE,P81KF97,"The Parade, Ballydehob, Co. Cork, ",,,,,,,,,
Asdee Health Centre,HSE,V31A257,"Asdee Community Centre, Asdee, Co. Kerry, ",52.5525,-9.56095,,,,,,,
"Ballylongford Health Centre, ",HSE,V31VX90,"Rusheen, Ballylongford, Co. Kerry, ",,,,,,,,,
"Ardfert Health Centre,",HSE,V92EKX9,"Farranwilliam, Ardfert, Co. Kerry, ",52.3254,-9.77971,,,,,,,
"Annascaul Health Centre, ",HSE,V92KA03,"Church Avenue, Annascaul, Co. Kerry, ",52.15215,-10.05287,,,,,,,
Ballyduff Health Centre - Kerry,HSE,V92WCV5,"Benmore, Ballyduff, Co. Kerry, ",,,,,,,,,
"Ballyheigue Health Centre, ",HSE,V92WY61,"Harty's Terrace, Ballyheigue, Co. Kerry, ",,,,,,,,,
Abbeydorney Health Centre,HSE,V92YK5X,"Abbeydorney Parish Community Hall, Abbeydorney, Co. Kerry, ",52.34533,-9.69213,,,,,,,
Clonakilty,HSE,,"Primary Care Centre Hospital Grounds, Scartagh, Clonakilty, Co. Cork.",51.63048,-8.87638,,,,,,,
Milltown,HSE,,"Bridge Street, Milltown, Co. Kerry",52.14374,-9.71419,,,,,,,
Dillons Cross,HSE,,"Harrington Square, Ballyhooly Road, Cork.",51.90827,-8.45689,,,,,,,
Rockchapel,HSE,,"Community Hall, Rockchapel, Co. Cork.",52.28826,-9.1477,,,,,,,
Grattan Street,HSE,,"Grattan Street, Cork.",51.89897,-8.47927,,,,,,,
Blackpool,HSE,,"Blackpool Community Centre, Great William O'Brien Street, Blackpool, Cork.",51.91094,-8.47438,,,,,,,
Macroom,HSE,,"Middle Square, Macroom, Co. Cork.",51.90703,-8.96698,,,,,,,
Rylane,HSE,,"Knocknagoun, Rylane, Co. Cork.",51.98378,-8.84123,,,,,,,
Cois Abhann Residential Centre,HSE,,"Greencloyne, Youghal, Co. Cork",51.96195,-7.85969,,,,,,,
Blarney,HSE,,"The Square, Blarney, Co. Cork.",51.93295,-8.56873,,,,,,,
Gurranebraher,HSE,,"St. Mary's Orthopaedic Hospital, Gurranebraher, Co. Cork.",51.90505,-8.49734,,,,,,,
Farranree,HSE,,"Farranree Community Centre, Popham's Road, Farranree, Cork.",51.91476,-8.48072,,,,,,,
Mayfield,HSE,,"Old Youghal Road, Cork.",51.9118,-8.4418,,,,,,,
Riverstown,HSE,,"Riverstown Village, Glanmire, Cork.",51.9286,-8.39578,,,,,,,
Cobh,HSE,,"Bishop's Street, Cobh, Co. Cork.",51.85342,-8.29459,,,,,,,
Ballymacoda,HSE,,"Ballymacoda, Youghal, Co. Cork.",51.89228,-7.94289,,,,,,,
Youghal,HSE,,"The Lodge Youghal Community Centre, Cork Hill, Youghal, Co. Cork.",51.95706,-7.85941,,,,,,,
Castlemartyr,HSE,,"Main Street, Castlemartyr, Co. Cork.",51.91188,-8.05513,,,,,,,
Kilmurray,HSE,,"Kilmurray, Macroom, Co. Cork.",51.84251,-8.88174,,,,,,,
Cobh,HSE,,"Canon O'Leary Place, Cobh, Co. Cork.",51.85265,-8.29522,,,,,,,
Killbrittain,HSE,,"Killbrittain, Co. Cork.",51.67346,-8.69227,,,,,,,
Carrigtwohill,HSE,,"Main Street, Carrigtwohill, Co. Cork.",51.90933,-8.25729,,,,,,,
Cloyne,HSE,,"Canon Lynch Place, Chapel Street, Cloyne, Co. Cork.",51.86253,-8.12294,,,,,,,
