name,type,eircode,address,lat,lng,email,phone,contact1,contact2,contact3,link,sourceId
Midland Regional Hospital Portlaoise,HOSP,R32RW61,"Dublin Road, Portlaoise, Co. Laois, ",53.03817,-7.27712,,,,,,https://www2.hse.ie/services/hospitals/midland-regional-hospital-portlaoise/,
Midland Regional Hospital Tullamore,HOSP,R35NY51,"Arden Road, Tullamore, Co. Offaly, ",53.28239,-7.49215,,,,,,https://www2.hse.ie/services/hospitals/midland-regional-hospital-tullamore/,
St James's Hospital Dublin,HOSP,D08NHY1,"James's Street, Dublin 8, ",53.33946,-6.29776,,,,,,https://www.stjames.ie/,
Naas General Hospital,HOSP,W91AE76,"Craddockstown Road, Naas, Co. Kildare, ",53.21169,-6.66271,,,,,,https://www.naashospital.ie/,
The Adelaide & Meath Hospital (Tallaght Hospital) Dublin,HOSP,D24 NR0A,"Tallaght, Dublin 24",53.29065,-6.37825,,,,,,https://www.tuh.ie/,
Cavan General Hospital,HOSP,H12A5D7,"Lisdarn, Cavan, ",54.00105,-7.37386,,,,,,https://www2.hse.ie/services/hospitals/cavan-general-hospital/,
Louth County Hospital Dundalk,HOSP,A91 E671,"Dublin Road, Marshes Upper, Dundalk, Co. Louth",53.98808,-6.401,,,,,,https://www2.hse.ie/services/hospitals/louth-county-hospital-dundalk/,
Monaghan Hospital,HOSP,H18NV91,"Monaghan, ",54.24971,-6.97551,,,,,,https://www2.hse.ie/services/hospitals/monaghan-hospital/,
Our Lady of Lourdes Hospital Drogheda,HOSP,A92VW28,"Drogheda, Co. Louth, ",53.72296,-6.35609,,,,,,https://www2.hse.ie/services/hospitals/our-lady-of-lourdes-hospital-drogheda/,
Connolly Hospital Dublin,HOSP,D15X40D,"Mill Road, Dublin 15, ",53.38879,-6.36927,,,,,,https://www2.hse.ie/services/hospitals/connolly-hospital-dublin/,
Beaumont Hospital,HOSP,D09C562,"Beaumont Road, Dublin 9, ",53.39235,-6.22679,,,,,,http://www.beaumont.ie/,
St Luke's General Hospital Kilkenny,HOSP,R95FY71,"Freshford Road, Kilkenny, ",52.66625,-7.26392,,,,,,https://www2.hse.ie/services/hospitals/st-lukes-general-hospital-kilkenny/,
Wexford General Hospital,HOSP,Y35 Y17D,"Newtown Road, Wexford, Y35y17d",52.34305,-6.48351,,,,,,https://www2.hse.ie/services/hospitals/wexford-general-hospital/,
Our Lady's Hospital Navan,HOSP,C15RK7Y,"Navan, Co. Meath, ",53.65052,-6.69829,,,,,,https://www2.hse.ie/services/hospitals/our-ladys-hospital-navan/,
Midland Regional Hospital Mullingar,HOSP,N91NA43,"Longford Road, Mullingar, Co. Westmeath, ",53.53439,-7.35026,,,,,,https://www.iehg.ie/regional-hospital-mullingar,
St Columcille's Hospital,HOSP,D18V9K1,"Bray Road, Loughlinstown, Co. Dublin, ",53.24305,-6.13356,,,,,,https://www2.hse.ie/services/hospitals/st-columcilles-hospital/,
St Vincent's University Hospital,HOSP,D04T6F4,"Elm Park, Nutley Lane, Dublin 4, ",53.31681,-6.21438,,,,,,https://www.stvincents.ie/,
St Michael's Hospital Dun Laoghaire,HOSP,A96P902,"George's Street Lower, Dun Laoghaire, Co. Dublin, ",53.29403,-6.13965,,,,,,https://stmichaels.ie/,
Mater Misericordiae Hospital,HOSP,D07R2WY,"Eccles Street, Dublin 7, ",53.35962,-6.26936,,,,,,https://www.mater.ie/,
South Tipperary General Hospital,HOSP,E91VY40,"Western Road, Clonmel, Co. Tipperary, ",52.35569,-7.71543,,,,,,https://www.hiqa.ie/areas-we-work/find-a-centre/south-tipperary-general-hospital-clonmel,
University Hospital Waterford,HOSP,X91ER8E,"Dunmore Road, Waterford, ",52.24877,-7.07961,,,,,,https://www2.hse.ie/services/hospitals/university-hospital-waterford/,
Bantry General Hospital,HOSP,P75DX93,Carrignagat Bantry Co. Cork ,51.67618,-9.45078,,,,,,https://www2.hse.ie/services/hospitals/bantry-general-hospital/,
Cork University Hospital,HOSP,T12DC4A,"Wilton, Cork, ",51.88357,-8.51164,,,,,,https://www.cuh.hse.ie/,
Mallow General Hospital,HOSP,P51N288,"Kilknockin, Mallow, Co. Cork, ",52.15153,-8.66472,,,,,,https://www2.hse.ie/services/hospitals/mallow-general-hospital/,
Ennis Hospital,HOSP,V95HN29,"Gort Road, Ennis, Co. Clare, ",52.85131,-8.98438,,,,,,https://www2.hse.ie/services/hospitals/ennis-hospital/,
Roscommon County Hospital,HOSP,F42AX61,"Ardsallagh Beg, Co. Roscommon, ",53.62497,-8.17623,,,,,,https://www.saolta.ie/hospital/ruh,
Mercy University Hospital,HOSP,T12WE28,"Grenville Place, Cork, ",51.89896,-8.48356,,,,,,https://www.muh.ie/,
Nenagh Hospital,HOSP,E45PT86,"Tyone, Nenagh, Co. Tipperary, ",52.85786,-8.19232,,,,,,https://www2.hse.ie/services/hospitals/nenagh-hospital/,
Sligo Regional Hospital,HOSP,F91H684,"The Mall, Sligo, ",54.27438,-8.46453,,,,,,https://www.saolta.ie/hospital/suh,
University Hospital Galway,HOSP,H91YR71,"Newcastle Road, Galway, ",53.27606,-9.06616,,,,,,https://www.saolta.ie/hospital/university-hospital-galway,
