name,type,eircode,address,lat,lng,email,phone,contact1,contact2,contact3,link,sourceId,,,,
Abbeylands Nursing Home & Alzheimer Unit,NURSE,,Abbeylands Nursing Home & Alzheimer Unit Carhoo Kildorrery Co. Cork Cork,52.2433,-8.43062,info@abbeylandsnursinghome.com,022-25090,,,,https://www.abbeylandsnursinghome.com,,,,,Cork
Amberley Home and Retirement Cottages,NURSE,,Amberley Home and Retirement Cottages Acres Fermoy Co. Cork Cork,52.15249,-8.32881,directorofcare@amberleyhome.ie,025 40900,,,,https://www.amberleyhome.ie,,,,,Cork
Araglen House Nursing and Convalescent Home,NURSE,,Araglen House Nursing and Convalescent Home Loumanagh Boherbue Mallow Co Cork Cork,52.1522,-9.08457,araglenhouse@gmail.com ,029 76771,,,,NA,,,,,Cork
Ardsley Nursing Home,NURSE,,Ardsley Nursing Home Rocky Road Farran Co. Cork Cork,51.87449,-8.719,ardsleynursinghome@gmail.com ,021 733 1163 ,,,,NA,,,,,Cork
Aperee Living Churchtown,NURSE,,"Churchtown, Mallow, Co. Cork",,,adminchurchtown@aperee.ie,022-23789,,,,https://aperee.ie/,,,,,Cork
Ballincollig Community Nursing Unit,NURSE,,Ballincollig Community Nursing Unit Murphy's Barracks Ballincollig Cork Cork,51.88812,-8.58785,ballincollig@mowlamhealthcare.com,021-4620600,,,,https://www.mowlamhealthcare.com/,,,,,Cork
Ballincurrig Care Centre Limited,NURSE,,Ballincurrig Care Centre Ballincurrig Leamlara Co. Cork Cork,51.98789,-8.22618,elainemacg@gmail.com,021 464 2130,,,,NA,,,,,Cork
Bandon Community Hospital,NURSE,,Bandon Community Hospital Bandon Co. Cork Cork,51.74713,-8.73695,,,,,,NA,,,,,Cork
Beaumont Residential Care,NURSE,,Beaumont Residential Care Woodvale Road Beaumont Co. Cork Cork,51.89011,-8.42382,admin@brccork.com,021-4292195,,,,https://carechoice.ie/beaumont-residential-care,,,,,Cork
Bishopscourt Residential Care Ltd,NURSE,,Bishopscourt Residential Care Liskillea Waterfall Co. Cork Cork,51.87303,-8.52978,info@bishopscourt.ie ,021-4885833,,,,https://www.bishopscourt.ie/,,,,,Cork
Blairs Hill Nursing Home,NURSE,,Blair's Hill Nursing Home Blair's Hill Sunday's Well Cork Cork,51.89979,-8.49198,patobrien09@yahoo.ie,021-4304229,,,,NA,,,,,Cork
Blarney Nursing and Retirement Home,NURSE,,Blarney Nursing Home Killowen Blarney Co. Cork Cork,51.94126,-8.59066,brianblarney@gmail.com,021-4381631,,,,NA,,,,,Cork
Bridhaven Nursing Home,NURSE,,Bridhaven Nursing Home Spa Glen Mallow Co. Cork Cork,52.14506,-8.64332,info@bridhaven.ie,022 22205,,,,https://www.bridhaven.ie,,,,,Cork
Brookfield Care Centre,NURSE,,Brookfield Care Centre Leamlara Co. Cork Cork,51.97179,-8.2656,bushmountnursinghome@eircom.net,023-8833991,,,,https://www.bushmountnursinghome.ie/,,,,,Cork
