name,type,eircode,address,lat,lng,email,phone,contact1,contact2,contact3,link,sourceId,,
Barrow Swifts Multi-Sports Junior Club,WA,,Barrow Centre IT Carlow Co. Carlow,52.82647966,-6.936462561,secretary.barrowswifts@iwasport.com,,,,,https://www.iwa.ie/,,,https://www.chime.ie/services/outreach-clinics-nationwide
IWA Carlow,WA,,Teach Fáilte Kilkenny Road Carlow R93 K3H4,52.82215576,-6.941246888,carlow@iwa.ie,059 914 0983 ,,,,https://www.iwa.ie/,,,https://www.chime.ie/images/uploads/downloads/Outreach_-_Sheet1.pdf
IWA Cavan,WA,,"Unit 1 Block D, Corlurgan Business Park Ballinagh Road Cavan H12W667",53.96244936,-7.35798803,cavan@iwa.ie,049 437 1212 ,,,,https://www.iwa.ie/,,,
IWA Clare,WA,,IWA Abbeyfield Centre Francis St. Ennis Co. Clare V95A6RN,52.84575093,-8.978473245,ennis@iwa.ie,065 6844150 ,,,,https://www.iwa.ie/,,,
IWA Ennis Charity Shop,WA,,Unit 14 Elevation Business Park Ennis Co. Clare,52.84651519,-8.970974748,ennisshop@iwa.ie,085 804 8301 ,,,,https://www.iwa.ie/,,,
Rebel Wheelers Basketball Club,WA,,Cope Foundation Bonnington Montenotte Cork,51.90679413,-8.438883088,Secretary.RebelWheelers@iwasport.com,,,,,https://www.iwa.ie/,,,
IWA Clonakility,WA,,Unit 6 Clogheen Industrial Estate Clonakilty Co. Cork P85 W021,51.6169201,-8.902764626,clonakilty@iwa.ie,023 882 1600,,,,https://www.iwa.ie/,,,
IWA Clonakility Charity Shop,WA,,10 Pearse Street Clonakilty Co. Cork,51.62325945,-8.88934549,clonakiltyshop@iwa.ie,085 870 5209  ,,,,https://www.iwa.ie/,,,
IWA Cork,WA,,Unit 2 Oak House Bessboro Road Blackrock Co Cork X91 W2WH,52.25203032,-7.153742448,cork@iwa.ie,021 435 0282 ,,,,https://www.iwa.ie/,,,
IWA Mallow,WA,,"Gilbert Centre Mallow Community Campus Fair Street, Mallow Co Cork P51 AT86",52.14111262,-8.641610702,mallow@iwa.ie,022 70700 ,,,,https://www.iwa.ie/,,,
IWA Skibbereen Charity Shop,WA,,19 North Street Skibbereen Co. Cork,51.5505222,-9.26569699,skibbereenshop@iwa.ie,085 870 5205 ,,,,https://www.iwa.ie/,,,
IWA Carrigart,WA,,Contact : Carnamogagh Upper Letterkenny Co Donegal,55.2980247,-7.263551512,drcmanor@iwa.ie,074 9177448  ,COMMUNITY CENTRE OUTREACH SERVICE,,,https://www.iwa.ie/,,,
IWA Donegal Town,WA,,Contact : Carnamogagh Upper Letterkenny Co Donegal,54.64918361,-8.114528077,drcmanor@iwa.ie,074 9177448  ,,,,https://www.iwa.ie/,,,
IWA Malin,WA,,Contact : Carnamogagh Upper Letterkenny Co Donegal,54.66829182,-8.454008746,drcmanor@iwa.ie,074 9177448  ,,,,https://www.iwa.ie/,,,
IWA Letterkenny,WA,,Glenview Carnamogagh Upper Letterkenny Co Donegal F92EW99,54.97334876,-7.726840507,drcmanor@iwa.ie,074 9177448  ,,,,https://www.iwa.ie/,,,
IWA Letterkenny Shop,WA,,Unit 3 Larkins Retail Park Pearse Road Letterkenny Co. Donegal,54.94667108,-7.737678188,letterkennyshop@iwa.ie,085 870 5129 ,,,,https://www.iwa.ie/,,,
IWA Dobhar-Ionaid Padraic,WA,,Contact : Carnamogagh Upper Letterkenny Co Donegal,55.28287407,-7.822459473,drcmanor@iwa.ie,074 9177448  ,,,,https://www.iwa.ie/,,,
IWA Clontarf Charity Shop,WA,,Áras Chúchulainn Blackheath Drive Clontarf Dublin 3,53.368213,-6.200225145,info@iwa.ie,085 227 8537 ,,,,https://www.iwa.ie/,,,
IWA Balbriggan,WA,,Contact : Clontarf Blackheath Drive Clontarf Dublin 3,53.49138762,-6.211284,info@iwa.ie,01 8186400  ,,,,https://www.iwa.ie/,,,
Carmel Fallon Holiday Centre,WA,,Blackheath Drive Clontarf Dublin 3,53.368213,-6.200225146,carmelfallonrespite@iwa.ie,01 818 6458 ,,,,https://www.iwa.ie/,,,
IWA National Headquarters,WA,,Áras Chúchulainn Blackheath Drive Clontarf Dublin 3,53.47177435,-6.211283031,info@iwa.ie,01 818 6400,,,,https://www.iwa.ie/,,,
Holiday Service Ballinasloe,WA,,The Shearwater Hotel Marina Point Ballinasloe Co Galway H53 F5P9,53.32679656,-8.21954619,sinead.harte@iwa.ie,087 137 5562 ,,,,https://www.iwa.ie/,,,
IWA Renmore,WA,,Renmore Community Centre Renmore Avenue Galway,53.27596359,-9.016265745,Secretary.GalwaySpeeders@iwasport.com,091753022,,,,https://www.iwa.ie/,,,
IWA Tuam,WA,,The Glebe Dublin Road Tuam Co Galway H54 TR77,53.51178842,-8.849540647,tuam@iwa.ie,093 266 59  ,,,,https://www.iwa.ie/,,,
IWA Tralee,WA,,Lime Tree House Kileen Oakpark Tralee Co Kerry V92 VHY2,52.2858861,-9.68959891,tralee@iwa.ie,066 718 0154 ,,,,https://www.iwa.ie/,,,
